dt,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,wind_gust,weather_id,weather_main,weather_description,weather_icon,pop,rain_1h,coord_lat,coord_lon
2022-04-19 22:00:00,26.079999999999984,26.079999999999984,1011,85,296.61,0.0,100,6558,3.88,242,4.89,501,Rain,moderate rain,10n,1.0,1.77,-6.8099,111.9961
2022-04-19 23:00:00,25.939999999999998,25.939999999999998,1011,86,296.66,0.0,100,10000,4.98,204,5.68,501,Rain,moderate rain,10n,1.0,3.16,-6.8099,111.9961
2022-04-20 00:00:00,25.810000000000002,26.730000000000018,1011,87,296.73,0.0,100,10000,3.59,186,3.94,501,Rain,moderate rain,10n,1.0,2.73,-6.8099,111.9961
2022-04-20 01:00:00,25.560000000000002,26.480000000000018,1010,88,296.67,0.0,100,10000,3.13,153,3.11,501,Rain,moderate rain,10n,1.0,2.05,-6.8099,111.9961
2022-04-20 02:00:00,25.379999999999995,26.310000000000002,1010,89,296.68,0.0,100,10000,3.29,140,3.13,500,Rain,light rain,10n,0.92,0.36,-6.8099,111.9961
2022-04-20 03:00:00,25.139999999999986,26.069999999999993,1009,90,296.63,0.0,100,10000,2.94,157,2.78,500,Rain,light rain,10n,0.92,0.27,-6.8099,111.9961
2022-04-20 04:00:00,24.829999999999984,25.730000000000018,1009,90,296.26,0.0,100,10000,2.11,161,1.9,500,Rain,light rain,10n,0.92,0.27,-6.8099,111.9961
2022-04-20 05:00:00,24.95999999999998,25.850000000000023,1009,89,296.05,0.0,100,10000,1.68,144,1.49,804,Clouds,overcast clouds,04n,0.72,,-6.8099,111.9961
2022-04-20 06:00:00,25.25,26.110000000000014,1010,87,295.97,0.07,100,10000,2.2,141,1.97,804,Clouds,overcast clouds,04d,0.72,,-6.8099,111.9961
2022-04-20 07:00:00,25.589999999999975,26.430000000000007,1010,85,295.99,0.59,100,10000,2.77,149,2.66,804,Clouds,overcast clouds,04d,0.8,,-6.8099,111.9961
2022-04-20 08:00:00,25.810000000000002,26.649999999999977,1010,84,296.18,2.74,100,10000,3.34,146,3.23,804,Clouds,overcast clouds,04d,0.05,,-6.8099,111.9961
2022-04-20 09:00:00,25.75,26.610000000000014,1011,85,296.21,5.57,100,10000,3.66,139,3.52,804,Clouds,overcast clouds,04d,0.04,,-6.8099,111.9961
2022-04-20 10:00:00,25.99000000000001,25.99000000000001,1011,84,296.15,8.42,100,10000,3.88,131,3.87,804,Clouds,overcast clouds,04d,0.04,,-6.8099,111.9961
2022-04-20 11:00:00,26.569999999999993,28.920000000000016,1010,80,295.97,12.09,98,10000,3.41,127,3.27,804,Clouds,overcast clouds,04d,0.0,,-6.8099,111.9961
2022-04-20 12:00:00,27.269999999999982,30.029999999999973,1009,76,295.92,12.23,98,10000,3.18,115,2.96,804,Clouds,overcast clouds,04d,0.0,,-6.8099,111.9961
2022-04-20 13:00:00,27.79000000000002,30.879999999999995,1008,74,295.91,10.29,98,10000,3.07,101,2.81,804,Clouds,overcast clouds,04d,0.04,,-6.8099,111.9961
2022-04-20 14:00:00,27.810000000000002,30.920000000000016,1007,74,296.0,6.37,100,10000,2.89,82,2.44,500,Rain,light rain,10d,0.4,0.14,-6.8099,111.9961
2022-04-20 15:00:00,27.610000000000014,30.75999999999999,1007,76,296.02,3.28,100,10000,2.69,77,2.26,500,Rain,light rain,10d,0.33,0.19,-6.8099,111.9961
2022-04-20 16:00:00,27.519999999999982,30.680000000000007,1007,77,296.17,1.1,100,10000,2.71,84,2.41,500,Rain,light rain,10d,0.33,0.17,-6.8099,111.9961
2022-04-20 17:00:00,27.139999999999986,30.069999999999993,1008,79,296.32,0.18,100,10000,2.54,98,2.83,500,Rain,light rain,10d,0.38,0.23,-6.8099,111.9961
2022-04-20 18:00:00,26.730000000000018,29.350000000000023,1009,81,296.32,0.0,100,10000,2.85,114,3.26,500,Rain,light rain,10n,0.42,0.49,-6.8099,111.9961
2022-04-20 19:00:00,26.69999999999999,29.370000000000005,1010,82,296.41,0.0,100,10000,3.2,118,3.33,500,Rain,light rain,10n,0.44,0.27,-6.8099,111.9961
2022-04-20 20:00:00,26.45999999999998,26.45999999999998,1011,83,296.41,0.0,100,9866,2.9,121,2.89,500,Rain,light rain,10n,0.59,0.7,-6.8099,111.9961
2022-04-20 21:00:00,26.220000000000027,26.220000000000027,1011,85,296.47,0.0,98,10000,2.73,132,2.77,500,Rain,light rain,10n,0.59,0.55,-6.8099,111.9961
2022-04-20 22:00:00,26.180000000000007,26.180000000000007,1011,85,296.47,0.0,99,10000,2.78,140,2.63,804,Clouds,overcast clouds,04n,0.59,,-6.8099,111.9961
2022-04-20 23:00:00,26.079999999999984,26.079999999999984,1011,85,296.38,0.0,99,10000,2.63,136,2.44,804,Clouds,overcast clouds,04n,0.55,,-6.8099,111.9961
2022-04-21 00:00:00,25.930000000000007,25.930000000000007,1010,85,296.3,0.0,99,10000,2.37,134,2.15,804,Clouds,overcast clouds,04n,0.48,,-6.8099,111.9961
2022-04-21 01:00:00,25.839999999999975,26.70999999999998,1009,85,296.23,0.0,99,10000,2.45,134,2.35,804,Clouds,overcast clouds,04n,0.29,,-6.8099,111.9961
2022-04-21 02:00:00,25.79000000000002,26.649999999999977,1009,85,296.2,0.0,100,10000,2.63,137,2.43,804,Clouds,overcast clouds,04n,0.07,,-6.8099,111.9961
2022-04-21 03:00:00,25.689999999999998,26.54000000000002,1008,85,296.09,0.0,100,10000,2.45,142,2.26,804,Clouds,overcast clouds,04n,0.07,,-6.8099,111.9961
2022-04-21 04:00:00,25.55000000000001,26.389999999999986,1008,85,296.0,0.0,100,10000,2.23,147,2.03,804,Clouds,overcast clouds,04n,0.07,,-6.8099,111.9961
2022-04-21 05:00:00,25.569999999999993,26.410000000000025,1009,85,295.9,0.0,100,10000,2.24,161,1.89,804,Clouds,overcast clouds,04n,0.04,,-6.8099,111.9961
2022-04-21 06:00:00,25.54000000000002,26.379999999999995,1009,85,295.89,0.07,100,10000,2.13,176,1.76,804,Clouds,overcast clouds,04d,0.04,,-6.8099,111.9961
2022-04-21 07:00:00,25.889999999999986,25.889999999999986,1010,82,295.8,0.66,100,10000,1.91,164,1.71,804,Clouds,overcast clouds,04d,0.04,,-6.8099,111.9961
2022-04-21 08:00:00,26.470000000000027,26.470000000000027,1011,80,295.83,2.96,90,10000,1.97,140,1.76,804,Clouds,overcast clouds,04d,0.0,,-6.8099,111.9961
2022-04-21 09:00:00,27.060000000000002,29.689999999999998,1011,77,295.84,6.0,94,10000,2.07,109,2.0,804,Clouds,overcast clouds,04d,0.0,,-6.8099,111.9961
2022-04-21 10:00:00,27.55000000000001,30.5,1010,75,295.83,9.09,96,10000,2.07,88,1.98,804,Clouds,overcast clouds,04d,0.07,,-6.8099,111.9961
2022-04-21 11:00:00,27.910000000000025,31.139999999999986,1009,74,295.88,12.16,96,10000,2.25,68,2.02,804,Clouds,overcast clouds,04d,0.31,,-6.8099,111.9961
2022-04-21 12:00:00,28.230000000000018,31.519999999999982,1008,72,295.92,12.3,88,10000,2.24,54,2.11,500,Rain,light rain,10d,0.53,0.3,-6.8099,111.9961
2022-04-21 13:00:00,28.389999999999986,31.69999999999999,1008,71,295.78,10.36,78,10000,2.3,42,2.15,500,Rain,light rain,10d,0.74,0.41,-6.8099,111.9961
2022-04-21 14:00:00,28.45999999999998,31.689999999999998,1007,70,295.68,7.38,22,10000,2.54,34,2.37,500,Rain,light rain,10d,0.81,0.43,-6.8099,111.9961
2022-04-21 15:00:00,28.519999999999982,31.810000000000002,1007,70,295.58,3.8,17,10000,2.84,27,2.67,500,Rain,light rain,10d,0.89,0.36,-6.8099,111.9961
2022-04-21 16:00:00,28.160000000000025,31.370000000000005,1007,72,295.95,1.27,16,10000,3.19,24,3.23,500,Rain,light rain,10d,0.89,0.44,-6.8099,111.9961
2022-04-21 17:00:00,27.480000000000018,30.600000000000023,1008,77,296.35,0.19,15,8891,3.25,23,3.89,500,Rain,light rain,10d,0.97,0.76,-6.8099,111.9961
2022-04-21 18:00:00,27.00999999999999,29.889999999999986,1009,80,296.3,0.0,15,6687,2.85,22,3.36,501,Rain,moderate rain,10n,0.97,1.42,-6.8099,111.9961
2022-04-21 19:00:00,27.0,29.75999999999999,1010,79,296.15,0.0,18,7729,2.49,19,2.91,501,Rain,moderate rain,10n,0.97,1.47,-6.8099,111.9961
2022-04-21 20:00:00,26.970000000000027,29.69999999999999,1010,79,296.02,0.0,70,8978,2.22,3,2.59,501,Rain,moderate rain,10n,0.82,1.67,-6.8099,111.9961
2022-04-21 21:00:00,27.120000000000005,29.920000000000016,1011,78,296.02,0.0,83,10000,2.16,343,2.38,501,Rain,moderate rain,10n,0.75,1.4,-6.8099,111.9961
